sup,conf,n_dtpt,Apriori,FPGrowth,AprioriPar
0.02,0.5,0.1,4756976427,2206253049,4460750022
0.02,0.5,0.1,4740322033,2167306888,4445394117
0.02,0.5,0.1,4665929829,2165852469,4413686359
0.02,0.5,0.1,4781608825,2193035060,4503975729
0.02,0.5,0.1,4696132728,2186191175,4519126198
0.02,0.5,0.1,4732359155,2197259138,4551881554
0.02,0.5,0.2,8225444241,4039465122,7760582951
0.02,0.5,0.2,8569041599,3997698848,7824779858
0.02,0.5,0.2,8233401131,4206869336,7616206013
0.02,0.5,0.2,8307629581,4093458885,7694055143
0.02,0.5,0.2,8156315895,4056190310,7600284300
0.02,0.5,0.2,8580476483,4037895382,7873844157
0.02,0.5,0.2,8361981511,4093886414,7931895026
0.02,0.5,0.2,8160915065,4166004797,7617747657
0.02,0.5,0.2,8259037894,4163417574,7552138459
0.02,0.5,0.2,8189720423,4088093804,7786534005
0.02,0.5,0.5,19988907153,9973120504,18336428304
0.02,0.5,0.5,20156741127,10481631324,18147705847
0.02,0.5,0.5,19951432853,10331138080,18378553584
0.02,0.5,0.5,20352254236,10546692120,18286677224
0.02,0.5,0.5,20106258058,10313989112,18215392945
0.02,0.5,0.5,20197157701,10036784647,18225409921
0.02,0.5,0.5,20193911001,10361951123,18316977101
0.02,0.5,0.5,20336658907,10425419624,18440852757
0.02,0.5,0.5,20297531485,10007070861,18756488682
0.02,0.5,0.5,19926620675,10276722025,18179824345
0.02,0.5,0.01,1725233850,520720118,1786446499
0.02,0.5,0.01,1748309742,473870779,1797370494
0.02,0.5,0.01,1652961527,459925576,1720879580
0.02,0.5,0.01,1725744508,470616125,1757842528
0.02,0.5,0.01,1568603261,429572971,1617763686
0.02,0.5,0.01,1648844460,440353455,1689368620
0.02,0.5,0.01,1755190121,473197583,1806823787
0.02,0.5,0.01,1699957243,428291122,1760019441
0.02,0.5,0.01,1662404754,463275822,1708929550
0.02,0.5,0.01,1726274364,486877632,1789933337
