sup,conf,n_dtpt,Apriori,FPGrowth,AprioriPar
0.01,0.9,0.01,8205287469,871650387,8354287224
0.01,0.9,0.01,8382422323,891065105,8522399773
0.01,0.9,0.01,8432985165,928268097,8556409013
0.01,0.9,0.01,8561029145,944680901,8670899484
0.01,0.9,0.01,8562536586,880056582,8710297395
0.01,0.9,0.01,8811790293,989519209,8914652433
0.01,0.9,0.01,9077261181,930434209,9136148905
0.01,0.9,0.01,9117643949,958958562,9291233624
0.01,0.9,0.01,9248557286,948850066,9364322693
0.01,0.9,0.01,9249029405,986013467,9356731962
0.01,0.9,0.02,7200119895,1127177865,7254739945
0.01,0.9,0.02,7356204541,1204252874,7546011353
0.01,0.9,0.02,7374878862,1240718328,7551246832
0.01,0.9,0.02,7390020526,1170619163,7478276240
0.01,0.9,0.02,7558321654,1177113088,7730891074
0.01,0.9,0.02,7600245137,1154489144,7705666131
0.01,0.9,0.02,7768993947,1168984820,7827612355
0.01,0.9,0.02,7779563239,1192088641,7862929870
0.01,0.9,0.02,7946776976,1189334593,8109299998
0.01,0.9,0.02,7950379134,1234113022,8110375052
0.01,0.9,0.05,8706743952,2018090955,8736304126
0.01,0.9,0.05,8782609582,1991469106,8823387451
0.01,0.9,0.05,8847476398,2011355147,8753940606
0.01,0.9,0.05,8870634903,1981068822,8761241915
0.01,0.9,0.05,9034813016,1982751267,9003248417
0.01,0.9,0.05,9037241954,2006155817,9015440205
0.01,0.9,0.05,9071293193,2061837040,9004105664
0.01,0.9,0.05,9088478133,2038490433,8948356621
0.01,0.9,0.05,9298215056,2025369404,9354196559
0.01,0.9,0.05,9437660523,2037976257,9422620223
0.01,0.9,0.1,12993176912,3393001385,12941440131
0.01,0.9,0.1,13062644706,3411293654,13165863687
0.01,0.9,0.1,13102626984,3436712077,12918777555
0.01,0.9,0.1,13221513090,3316206216,13023039299
0.01,0.9,0.1,13276251949,3336830582,13461169410
0.01,0.9,0.1,13297388697,3388457708,13143153958
0.01,0.9,0.1,13325211521,3445414472,13123422159
0.01,0.9,0.1,13385778695,3370164228,13183776665
0.01,0.9,0.1,13520209808,3338220314,13250226084
0.01,0.9,0.1,13668088435,3436723473,13537502042
0.01,0.9,0.2,19871562096,6266686362,19229280963
0.01,0.9,0.2,19979096468,5945509043,19414857141
0.01,0.9,0.2,20163738977,6104943653,19672408968
0.01,0.9,0.2,20176028317,6119370459,19572644337
0.01,0.9,0.2,20188477404,5994822267,19559235289
0.01,0.9,0.2,20189783066,6035978536,19762865583
0.01,0.9,0.2,20234230363,6230238447,19586655783
0.01,0.9,0.2,20323594495,5936577273,19491946645
0.01,0.9,0.2,20370693944,6098540740,19798687637
0.01,0.9,0.2,20630601174,6404495816,19977954825
0.01,0.9,0.5,44211780462,14756163169,43924043548
0.01,0.9,0.5,44534544857,14764509683,43545086515
0.01,0.9,0.5,44536712403,14244244072,43417959211
0.01,0.9,0.5,44643220319,14440495403,43175692946
0.01,0.9,0.5,44680109429,14380526656,43476576636
0.01,0.9,0.5,44856341352,14311221652,43532980083
0.01,0.9,0.5,45204132004,14833150923,44244231514
0.01,0.9,0.5,45304077998,14067496775,43102685921
0.01,0.9,0.5,45835565565,14754996505,44081476423
0.01,0.9,0.5,45843831257,14212828796,43294895801
0.01,0.9,1,106703120757,29220048649,103960213720
0.01,0.9,1,107159415408,29132722004,103218459495
0.01,0.9,1,107365267490,29078149449,103317469681
0.01,0.9,1,108367566572,29012874332,103278308536
0.01,0.9,1,108787224933,29176668551,103111742677
0.01,0.9,1,109070817222,29112617066,103431119944
0.01,0.9,1,110257374917,29235101540,102752018334
0.01,0.9,1,110540615347,29227979853,103501152546
0.01,0.9,1,110804732383,29204303636,104996440974
0.01,0.9,1,110926733347,29278345522,105540105084
0.02,0.8,0.01,1466023680,427462713,1561937770
0.02,0.8,0.01,1498461658,436794031,1590521929
0.02,0.8,0.01,1507119706,416023142,1611047287
0.02,0.8,0.01,1529525922,426560152,1616213494
0.02,0.8,0.01,1545979219,436301336,1632812774
0.02,0.8,0.01,1553286917,438106251,1644157216
0.02,0.8,0.01,1621131865,452481993,1704103529
0.02,0.8,0.01,1625017150,450488045,1717266046
0.02,0.8,0.01,1673783504,460250176,1765723135
0.02,0.8,0.01,1804373137,468938310,1900287514
0.02,0.8,0.02,1623539842,622887229,1678283387
0.02,0.8,0.02,1682225731,610100115,1752448801
0.02,0.8,0.02,1692103373,605475076,1698319606
0.02,0.8,0.02,1731531766,635433025,1705275859
0.02,0.8,0.02,1748140094,618234841,1709415506
0.02,0.8,0.02,1756116759,636195788,1731348776
0.02,0.8,0.02,1759808633,621148637,1723925362
0.02,0.8,0.02,1771806356,635062505,1749647472
0.02,0.8,0.02,1812496071,619766086,1864375367
0.02,0.8,0.02,1879640617,664901706,1851109528
0.02,0.8,0.05,2703401139,1190416427,2680574102
0.02,0.8,0.05,2715806507,1214582125,2682223506
0.02,0.8,0.05,2736337607,1208637561,2551270279
0.02,0.8,0.05,2750274523,1221243696,2721170202
0.02,0.8,0.05,2752508571,1201465659,2699735248
0.02,0.8,0.05,2766625331,1190722036,2695411909
0.02,0.8,0.05,2781450773,1232493589,2652744938
0.02,0.8,0.05,2798488121,1210036045,2715927164
0.02,0.8,0.05,2842324616,1230504616,2720091635
0.02,0.8,0.05,2849603152,1216093705,2712038394
0.02,0.8,0.1,4513503175,2106789909,4235745772
0.02,0.8,0.1,4526529219,2113489875,4289674825
0.02,0.8,0.1,4547451255,2128392721,4349832948
0.02,0.8,0.1,4563125936,2154321224,4337810207
0.02,0.8,0.1,4574670160,2122907524,4381530149
0.02,0.8,0.1,4608576192,2212334723,4361231107
0.02,0.8,0.1,4625354651,2170771913,4472674077
0.02,0.8,0.1,4628462244,2205359337,4400740887
0.02,0.8,0.1,4640139369,2121193285,4267169031
0.02,0.8,0.1,4667987750,2146207068,4439912091
0.02,0.8,0.2,7827490373,3958671949,7247970239
0.02,0.8,0.2,7914931835,4193211756,7227251048
0.02,0.8,0.2,7915106339,4055533969,7201982429
0.02,0.8,0.2,7944117673,4079376979,7369373187
0.02,0.8,0.2,7947686272,3998207993,7497261962
0.02,0.8,0.2,7987864666,3895552424,7145571541
0.02,0.8,0.2,7997336399,4097069312,7279850376
0.02,0.8,0.2,8038070402,4084260889,7184746783
0.02,0.8,0.2,8118759608,4262780445,7303539208
0.02,0.8,0.2,8165244542,4073839552,7294753162
0.02,0.8,0.5,19316470986,9972432716,18301046651
0.02,0.8,0.5,19504248272,10018180479,18305080120
0.02,0.8,0.5,19586021457,10330540161,18083190068
0.02,0.8,0.5,19701392725,10489166878,17935928209
0.02,0.8,0.5,19713224637,9888773604,18168298880
0.02,0.8,0.5,19749391746,10336830889,17830467406
0.02,0.8,0.5,19754991878,9937051997,17913021916
0.02,0.8,0.5,19766244078,10303784517,17961758874
0.02,0.8,0.5,19850343973,9808892707,17785062746
0.02,0.8,0.5,20483663314,10432382907,18309709068
0.02,0.8,1,51852777375,21097300284,46901052515
0.02,0.8,1,52075819685,21044049057,47157867830
0.02,0.8,1,52425954077,21106680847,45615111893
0.02,0.8,1,52516798662,21121990186,46485315576
0.02,0.8,1,52736915239,21012716188,47514862594
