sup,conf,n_dtpt,Apriori,FPGrowth,AprioriPar
0.02,0.8,1,52889178745,21082743409,46582051623
0.02,0.8,1,52987847743,21122415082,46410502452
0.02,0.8,1,52992744237,21055406958,47514183225
0.02,0.8,1,53257792676,21041799239,45949054625
0.02,0.8,1,53639563782,21237239041,46886110878
0.05,0.5,0.01,211803088,156702268,239689558
0.05,0.5,0.01,214599340,196099391,240658198
0.05,0.5,0.01,235445158,158962745,261475792
0.05,0.5,0.01,237012854,158634898,307922213
0.05,0.5,0.01,237986598,215849796,266163329
0.05,0.5,0.01,239227993,163809309,309207801
0.05,0.5,0.01,241485654,213100365,269396585
0.05,0.5,0.01,241627827,165255598,319654661
0.05,0.5,0.01,257440297,155270412,237000758
0.05,0.5,0.01,277103007,156708171,254860314
0.05,0.5,0.02,291030900,248629367,349332341
0.05,0.5,0.02,313206861,263983095,378279142
0.05,0.5,0.02,315820183,300914523,330331768
0.05,0.5,0.02,318684174,255488840,323224525
0.05,0.5,0.02,326055827,317051443,338432025
0.05,0.5,0.02,328595794,313562096,335413445
0.05,0.5,0.02,339004678,320431279,345042460
0.05,0.5,0.02,340210223,272004955,355612462
0.05,0.5,0.02,359819665,255720173,325689384
0.05,0.5,0.02,363934175,281035112,333843330
0.05,0.5,0.05,653990676,610750807,637019071
0.05,0.5,0.05,664797305,567785550,681983544
0.05,0.5,0.05,666768912,560248723,633063246
0.05,0.5,0.05,666839202,571665365,676711100
0.05,0.5,0.05,668001533,620715172,656428035
0.05,0.5,0.05,669757277,607286641,664402493
0.05,0.5,0.05,670616924,657121730,690965050
0.05,0.5,0.05,684786744,643169442,666281391
0.05,0.5,0.05,690299407,605972435,656083731
0.05,0.5,0.05,703270870,547296003,634545569
0.05,0.5,0.1,1257404380,1107299813,1146752005
0.05,0.5,0.1,1285075254,1116675445,1153034791
0.05,0.5,0.1,1288104983,1087764686,1161724218
0.05,0.5,0.1,1295468829,1209553083,1214774384
0.05,0.5,0.1,1307837581,1192717170,1168993160
0.05,0.5,0.1,1325031741,1187124263,1186426971
0.05,0.5,0.1,1330485932,1069631230,1161964921
0.05,0.5,0.1,1334966661,1138434334,1197732816
0.05,0.5,0.1,1359019746,1187255815,1207978968
0.05,0.5,0.1,1366034979,1173936900,1194017513
0.05,0.5,0.2,2395121838,2187343239,2088403572
0.05,0.5,0.2,2397062757,2282049617,2071654869
0.05,0.5,0.2,2409425194,2257898665,2104907689
0.05,0.5,0.2,2459085468,2295888263,2097362329
0.05,0.5,0.2,2464077416,2272276218,2128833961
0.05,0.5,0.2,2468174065,2302901846,2140725413
0.05,0.5,0.2,2480806999,2206519772,2108352180
0.05,0.5,0.2,2492043729,2247901630,2168967819
0.05,0.5,0.2,2498569718,2191467261,2164962965
0.05,0.5,0.2,2503983696,2290455160,2156002609
0.05,0.5,0.5,6163917775,6071111047,5274806844
0.05,0.5,0.5,6176381023,5895895473,5511735519
0.05,0.5,0.5,6192332339,5677821175,5266414900
0.05,0.5,0.5,6227218574,5602698987,5467994978
0.05,0.5,0.5,6285421760,5547683178,5368461716
0.05,0.5,0.5,6354642696,6037421209,5440264309
0.05,0.5,0.5,6366420001,5958593376,5556384399
0.05,0.5,0.5,6370560101,5605849163,5400545221
0.05,0.5,0.5,6505526598,5988343737,5544110791
0.05,0.5,0.5,6537459631,6104742477,5509107967
0.05,0.5,1,16602251367,12182311568,14355810838
0.05,0.5,1,16626762709,12175427490,14162301588
0.05,0.5,1,16654075944,12191264419,14434047185
0.05,0.5,1,16717001872,12232954509,14375022736
0.05,0.5,1,16724755795,12253786818,14078243206
0.05,0.5,1,16873696552,12230113343,14312958654
0.05,0.5,1,16909898166,12228699908,14336906085
0.05,0.5,1,16995451602,12219962727,14667673010
0.05,0.5,1,17182490185,12283333903,14358582384
0.05,0.5,1,17296475715,12254486219,14084949461
0.1,0.5,0.01,52555420,65690753,116240533
0.1,0.5,0.01,53241872,67608972,72340094
0.1,0.5,0.01,56408971,68432992,70169376
0.1,0.5,0.01,58809569,116671364,75513590
0.1,0.5,0.01,59570161,70453578,74668405
0.1,0.5,0.01,60439384,75233682,124985995
0.1,0.5,0.01,60704595,74879873,78938959
0.1,0.5,0.01,60773555,72318939,75542562
0.1,0.5,0.01,61150625,74673296,77301368
0.1,0.5,0.01,61833086,78016340,77633101
0.1,0.5,0.02,100216427,131712210,105228962
0.1,0.5,0.02,100766563,133464642,107116064
0.1,0.5,0.02,102122771,135385271,108939338
0.1,0.5,0.02,105515987,133441040,109544557
0.1,0.5,0.02,142161007,131817258,103029796
0.1,0.5,0.02,93858206,119120950,97778636
0.1,0.5,0.02,95275871,136211653,150527453
0.1,0.5,0.02,98243530,125419921,103479455
0.1,0.5,0.02,98498212,174356307,106199916
0.1,0.5,0.02,98918478,131935572,105703576
0.1,0.5,0.05,238857929,290268995,233505367
0.1,0.5,0.05,245750019,337492399,232708465
0.1,0.5,0.05,248969429,304485117,236386027
0.1,0.5,0.05,249514605,307897431,232336384
0.1,0.5,0.05,249765500,305815528,238488655
0.1,0.5,0.05,250429665,325100357,293383670
0.1,0.5,0.05,252082414,298788190,229704791
0.1,0.5,0.05,252157354,318194797,236951221
0.1,0.5,0.05,257693867,290451154,227057196
0.1,0.5,0.05,290222578,294314239,241558661
0.1,0.5,0.1,504698130,630488018,395644156
0.1,0.5,0.1,507482458,585469738,395462925
0.1,0.5,0.1,510605621,661151334,396881828
0.1,0.5,0.1,510928891,596629600,413107259
0.1,0.5,0.1,516611674,580938286,405618532
0.1,0.5,0.1,520549335,597952533,402887043
0.1,0.5,0.1,532952119,608475849,401665532
0.1,0.5,0.1,534492608,624033238,386088411
0.1,0.5,0.1,534884379,647191698,408944145
0.1,0.5,0.1,537187090,632273941,440528582
0.1,0.5,0.2,1001456049,1238067963,734992092
0.1,0.5,0.2,1002062013,1293163668,730060076
0.1,0.5,0.2,1025387485,1177670652,760738358
0.1,0.5,0.2,1044140301,1231664411,782936348
0.1,0.5,0.2,1044700915,1250573592,740467458
0.1,0.5,0.2,1054011927,1276853526,748030144
0.1,0.5,0.2,1057833758,1271594528,755371347
0.1,0.5,0.2,1058978069,1314991654,755505941
0.1,0.5,0.2,1070791125,1252642474,742995005
0.1,0.5,0.2,991905167,1249871988,719620109
0.1,0.5,0.5,2566484967,3097921589,1791819373
0.1,0.5,0.5,2580582808,3368410970,1861708843
0.1,0.5,0.5,2614624017,3081603853,1828129592
0.1,0.5,0.5,2662186057,3102598192,1830377658
0.1,0.5,0.5,2680060064,3375348877,1856342605
0.1,0.5,0.5,2710372223,3388458768,1833801092
0.1,0.5,0.5,2724786312,3202640189,1833539473
0.1,0.5,0.5,2726017358,3442434210,1823473105
0.1,0.5,0.5,2737233160,3382733049,1832789858
0.1,0.5,0.5,2789496096,3409654987,1835601291
0.1,0.5,1,7055474698,7081497086,4820442330
0.1,0.5,1,7058240112,7081021106,4878736587
0.1,0.5,1,7083013182,7059595651,4812864497
0.1,0.5,1,7119347518,7058241348,4725197049
0.1,0.5,1,7135052284,7053745067,4844550905
0.1,0.5,1,7150328634,7059139690,4826846514
0.1,0.5,1,7184311509,7058624241,4864986506
0.1,0.5,1,7219276845,7024103425,4828526094
0.1,0.5,1,7300267100,7041814713,4962352529
0.1,0.5,1,7352859461,7058103503,4997143420
0.2,0.5,0.01,16765188,29212931,33954485
0.2,0.5,0.01,17416112,31463224,33889261
0.2,0.5,0.01,17434389,29763559,33419706
0.2,0.5,0.01,17714291,30783638,33400474
0.2,0.5,0.01,17728078,31706071,34498173
0.2,0.5,0.01,18248756,30792856,34185279
0.2,0.5,0.01,18378735,32381841,35418244
0.2,0.5,0.01,18400214,33135719,35164209
0.2,0.5,0.01,18639021,33518220,35364327
0.2,0.5,0.01,18861605,34825436,36712838
0.2,0.5,0.02,32846810,57482548,43635977
0.2,0.5,0.02,32973624,57972702,44589207
0.2,0.5,0.02,33811662,60090121,46379638
0.2,0.5,0.02,33839333,59049174,44485345
0.2,0.5,0.02,33929813,61047958,46256270
0.2,0.5,0.02,34353409,61088157,45328169
0.2,0.5,0.02,34424591,61341465,46910574
0.2,0.5,0.02,34492299,63571759,46557488
0.2,0.5,0.02,34707221,61739718,45116592
0.2,0.5,0.02,77512308,63403156,48587760
0.2,0.5,0.05,107698218,164358465,90599337
0.2,0.5,0.05,92895766,157958087,85803591
0.2,0.5,0.05,93267682,147235511,90378023
0.2,0.5,0.05,93552116,155891869,85574275
0.2,0.5,0.05,93729548,174776317,83029284
0.2,0.5,0.05,93754502,153755167,87660770
0.2,0.5,0.05,93831622,158495534,97823188
0.2,0.5,0.05,94568014,149729139,89947178
0.2,0.5,0.05,96321793,158516093,87721888
0.2,0.5,0.05,98485317,167214403,88828041
0.2,0.5,0.1,196145135,299084250,142090131
0.2,0.5,0.1,196641704,330007663,142763763
0.2,0.5,0.1,196874479,329598490,143275674
0.2,0.5,0.1,197219757,328369532,142948769
0.2,0.5,0.1,197773505,316585556,145215703
0.2,0.5,0.1,198049577,326996298,143838619
0.2,0.5,0.1,200281935,306490109,146678422
0.2,0.5,0.1,200650676,333404990,146480599
0.2,0.5,0.1,202171631,330690784,147074827
0.2,0.5,0.1,208186839,340573566,152078226
0.2,0.5,0.2,395973074,653541073,258253707
0.2,0.5,0.2,396940368,612904691,251439365
0.2,0.5,0.2,397120708,657610678,258282645
0.2,0.5,0.2,403187739,635799013,314782370
0.2,0.5,0.2,403506256,664084533,260018770
0.2,0.5,0.2,405017424,614392625,272160979
0.2,0.5,0.2,405244669,664782948,255147354
0.2,0.5,0.2,408148423,660465960,263763208
0.2,0.5,0.2,414514699,669290091,264513383
0.2,0.5,0.2,441898846,682156549,263712632
0.2,0.5,0.5,1040398372,1653605143,670532112
0.2,0.5,0.5,1046756492,1862371872,608877719
0.2,0.5,0.5,1049466016,1645983933,618520915
0.2,0.5,0.5,1052018915,1658030130,616453503
0.2,0.5,0.5,1052061537,1664237451,622282247
0.2,0.5,0.5,1054353218,1677126024,641731025
0.2,0.5,0.5,1062749213,1845214297,647292420
0.2,0.5,0.5,1078040268,1705958659,628618042
0.2,0.5,0.5,1079165500,1701304082,615292884
0.2,0.5,0.5,1090351565,1840720602,629202560
0.2,0.5,1,2717396573,3925252460,1549994905
0.2,0.5,1,2721996728,3927649292,1582650385
0.2,0.5,1,2734283848,3924105293,1617929355
0.2,0.5,1,2737787853,3926633363,1619945344
0.2,0.5,1,2744934092,3960105901,1594219624
0.2,0.5,1,2750227928,3977305032,1534585748
0.2,0.5,1,2755598677,3980587107,1639288288
0.2,0.5,1,2775189406,3944062143,1592306365
0.2,0.5,1,2836761420,3995210644,1599538568
0.2,0.5,1,2902321507,4013219613,1622626770
0.5,0.5,0.01,6039272,8671759,21943278
0.5,0.5,0.01,6085431,8526709,22184227
0.5,0.5,0.01,6321521,8804534,21567824
0.5,0.5,0.01,6464184,9336484,22102526
0.5,0.5,0.01,6514189,9344923,21886712
0.5,0.5,0.01,6516190,9252426,21839589
0.5,0.5,0.01,6562053,9375263,21982033
0.5,0.5,0.01,6646316,9478109,23238794
0.5,0.5,0.01,6691919,9574035,21781497
0.5,0.5,0.01,6835578,10060037,22426204
0.5,0.5,0.02,13528189,18669947,24879497
0.5,0.5,0.02,13822029,18847029,24728089
0.5,0.5,0.02,13883178,19076499,24969284
0.5,0.5,0.02,14019522,19486447,25292843
0.5,0.5,0.02,14064878,19530987,25772164
0.5,0.5,0.02,14089563,19535848,25116193
0.5,0.5,0.02,14127173,19503438,25027394
0.5,0.5,0.02,14136185,19254529,24627895
0.5,0.5,0.02,14378451,19932977,25683479
0.5,0.5,0.02,14449923,19926075,25478992
0.5,0.5,0.05,39889653,52179074,34380418
0.5,0.5,0.05,40080829,52172418,37044898
0.5,0.5,0.05,41795633,54771053,37736681
0.5,0.5,0.05,42597547,55289427,39299290
0.5,0.5,0.05,42616149,54184921,37541871
0.5,0.5,0.05,42735155,55638227,37373226
0.5,0.5,0.05,42772747,55840072,39618201
0.5,0.5,0.05,42797467,56017129,34682052
0.5,0.5,0.05,43308433,56386685,38946871
0.5,0.5,0.05,43446637,56229892,41997199
0.5,0.5,0.1,89061527,116041320,46975464
0.5,0.5,0.1,90090728,114841704,47436127
0.5,0.5,0.1,90691124,117295876,45015498
0.5,0.5,0.1,91437085,117785981,46290080
0.5,0.5,0.1,91992503,116702744,46275691
0.5,0.5,0.1,92578925,121105418,47079068
0.5,0.5,0.1,93606789,118057475,47729480
0.5,0.5,0.1,93631089,119271873,46907460
0.5,0.5,0.1,95003740,119684039,46717873
0.5,0.5,0.1,97061808,117521024,47564105
0.5,0.5,0.2,188089574,237273100,66617781
0.5,0.5,0.2,189622339,238846789,67387840
0.5,0.5,0.2,189637786,238909110,66318256
0.5,0.5,0.2,189818007,239202214,66727088
0.5,0.5,0.2,190771664,239232539,66900328
0.5,0.5,0.2,191114952,238175140,66406138
0.5,0.5,0.2,191671993,239934936,66231419
0.5,0.5,0.2,192332692,242041375,67352195
0.5,0.5,0.2,195467854,244310986,67139365
0.5,0.5,0.2,197296001,252650056,67824089
0.5,0.5,0.5,483399259,616386677,182615615
0.5,0.5,0.5,483604662,614124721,132372045
0.5,0.5,0.5,484640146,631435655,131756527
0.5,0.5,0.5,485369553,616502733,130682093
0.5,0.5,0.5,485606980,632018035,130719987
0.5,0.5,0.5,488076038,618749854,131043730
0.5,0.5,0.5,488158038,631197063,131649288
0.5,0.5,0.5,489437855,638612041,132017349
0.5,0.5,0.5,499215850,630850352,176865183
0.5,0.5,0.5,505196574,615414282,130964041
0.5,0.5,1,1236725809,1474494140,265970702
0.5,0.5,1,1254119357,1490247090,265651944
0.5,0.5,1,1255335174,1480851975,316225733
0.5,0.5,1,1265528858,1506847413,331702188
0.5,0.5,1,1269703532,1516283022,320948940
0.5,0.5,1,1279963992,1546142646,266608196
0.5,0.5,1,1280913618,1493527117,305137087
0.5,0.5,1,1282322215,1538944441,313129935
0.5,0.5,1,1289429822,1515937907,311107035
0.5,0.5,1,1319321983,1534437883,318428092
